Url,Zestimate,Price,Rent Zestimate,Bathrooms,Bedrooms,Living Area,Home Type,Street Address,City,Zip,State,Country,Broker Name,,sgapt,statusText,statusType
https://www.zillow.com/homedetails/43166-Sunset-Dr-Big-Bear-Lake-CA-92315/17621046_zpid/,567230,589000,2484,2,3,1334,SINGLE_FAMILY,43166 Sunset Dr,Big Bear Lake,92315,CA,USA,RE/MAX BIG BEAR,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/595-Killington-Way-Big-Bear-Lake-CA-92315/17618966_zpid/,1168700,1249000,4758,3,3,2888,SINGLE_FAMILY,595 Killington Way,Big Bear Lake,92315,CA,USA,BHG Desert Lifestyle Properties,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/42580-Willow-Ave-Big-Bear-Lake-CA-92315/137976992_zpid/,784948,799900,2813,3,4,1686,SINGLE_FAMILY,42580 Willow Ave,Big Bear Lake,92315,CA,USA,ALL STAR REALTY,,New Construction,New construction,FOR_SALE
https://www.zillow.com/homedetails/1179-Sheephorn-Rd-Big-Bear-Lake-CA-92315/2061303780_zpid/,,599900,,2,3,1140,SINGLE_FAMILY,1179 Sheephorn Rd,Big Bear Lake,92315,CA,USA,Re/Max Big Bear,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/518-Waynoka-Ln-Big-Bear-Lake-CA-92315/17384351_zpid/,593132,595000,2392,2,3,1284,SINGLE_FAMILY,518 Waynoka Ln,Big Bear Lake,92315,CA,USA,WHEELER STEFFEN SOTHEBY'S INT,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/112-Eagle-Dr-Big-Bear-Lake-CA-92315/17385978_zpid/,1604300,2100000,6713,4,5,4159,SINGLE_FAMILY,112 Eagle Dr,Big Bear Lake,92315,CA,USA,Mills Realty of California,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/43076-Moonridge-Rd-Big-Bear-Lake-CA-92315/17620828_zpid/,818303,829000,3586,3,4,2748,SINGLE_FAMILY,43076 Moonridge Rd,Big Bear Lake,92315,CA,USA,Wheeler Steffen Sotheby's Intl,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/40031-Hillcrest-Dr-Big-Bear-Lake-CA-92315/17383772_zpid/,679514,699900,2556,2,3,1415,SINGLE_FAMILY,40031 Hillcrest Dr,Big Bear Lake,92315,CA,USA,Vacasa Real Estate Corp.,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/872-Conklin-Rd-Big-Bear-Lake-CA-92315/17385696_zpid/,775100,799000,2999,2,4,1728,SINGLE_FAMILY,872 Conklin Rd,Big Bear Lake,92315,CA,USA,Charis Real Estate,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/426-Eagle-Lake-Dr-Big-Bear-Lake-CA-92315/2091738140_zpid/,1624000,1790000,7020,3,5,3527,SINGLE_FAMILY,426 Eagle Lake Dr,Big Bear Lake,92315,CA,USA,Re/Max Big Bear,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/41562-Park-Ave-Big-Bear-Lake-CA-92315/17386141_zpid/,629203,649900,2749,2,3,1458,SINGLE_FAMILY,41562 Park Ave,Big Bear Lake,92315,CA,USA,,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/39209-Big-Bear-Blvd-Big-Bear-Lake-CA-92315/17382983_zpid/,507000,650000,2100,2,3,948,SINGLE_FAMILY,39209 Big Bear Blvd,Big Bear Lake,92315,CA,USA,"Jonathan Whitesides, Broker",,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/205-Lagunita-Ln-Big-Bear-Lake-CA-92315/17383460_zpid/,3729600,5895000,22993,7,7,5734,SINGLE_FAMILY,205 Lagunita Ln,Big Bear Lake,92315,CA,USA,WHEELER STEFFEN SOTHEBY'S INT.,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/871-Elm-St-Big-Bear-Lake-CA-92315/17619865_zpid/,569366,589000,2999,2,3,1520,SINGLE_FAMILY,871 Elm St,Big Bear Lake,92315,CA,USA,"Mountain Lake Properties, Inc.",,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/42255-Castle-Crag-Rd-Big-Bear-Lake-CA-92315/82910601_zpid/,1410009,1490000,6735,4,4,3300,SINGLE_FAMILY,42255 Castle Crag Rd,Big Bear Lake,92315,CA,USA,Re/Max Big Bear,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/41941-Evergreen-Dr-Big-Bear-Lake-CA-92315/17618673_zpid/,774500,799900,3129,4,4,1970,SINGLE_FAMILY,41941 Evergreen Dr,Big Bear Lake,92315,CA,USA,Platinum Finance Properties,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/729-Cove-Dr-Big-Bear-Lake-CA-92315/17382174_zpid/,1125000,1200000,5297,3,3,1708,SINGLE_FAMILY,729 Cove Dr,Big Bear Lake,92315,CA,USA,Re/Max Big Bear,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/40072-Lakeview-Dr-Big-Bear-Lake-CA-92315/17383424_zpid/,763774,799999,2650,3,3,1570,SINGLE_FAMILY,40072 Lakeview Dr,Big Bear Lake,92315,CA,USA,Compass,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/1229-Alpenweg-Dr-Big-Bear-Lake-CA-92315/17620064_zpid/,750000,759500,3141,2,3,1880,SINGLE_FAMILY,1229 Alpenweg Dr,Big Bear Lake,92315,CA,USA,,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/42538-La-Placida-Ave-Big-Bear-Lake-CA-92315/137976824_zpid/,639900,649900,2314,2,3,1119,SINGLE_FAMILY,42538 La Placida Ave,Big Bear Lake,92315,CA,USA,BHHS CA Properties,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/580-Talmadge-Rd-Big-Bear-Lake-CA-92315/17384583_zpid/,670200,665000,2878,2,3,1646,SINGLE_FAMILY,580 Talmadge Rd,Big Bear Lake,92315,CA,USA,,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/430-Gibralter-Rd-Big-Bear-Lake-CA-92315/17384169_zpid/,874900,1199999,4902,2,4,1273,SINGLE_FAMILY,430 Gibralter Rd,Big Bear Lake,92315,CA,USA,Coldwell Banker Realty,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/42384-Eagle-Ridge-Dr-Big-Bear-Lake-CA-92315/82910647_zpid/,1278260,1400000,5594,4,4,3453,SINGLE_FAMILY,42384 Eagle Ridge Dr,Big Bear Lake,92315,CA,USA,Re/Max Area Experts,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/441-Santa-Clara-Blvd-Big-Bear-Lake-CA-92315/17619198_zpid/,689500,700000,2999,2,3,1746,SINGLE_FAMILY,441 Santa Clara Blvd,Big Bear Lake,92315,CA,USA,Compass,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/39179-Chincapin-Rd-Big-Bear-Lake-CA-92315/17382558_zpid/,628333,650000,2999,2,4,2160,SINGLE_FAMILY,39179 Chincapin Rd,Big Bear Lake,92315,CA,USA,Keller Williams Big Bear Lake Arrowhead,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/193-Lagunita-Ln-Big-Bear-Lake-CA-92315/69002029_zpid/,1851100,1724000,7906,5,5,5210,SINGLE_FAMILY,193 Lagunita Ln,Big Bear Lake,92315,CA,USA,,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/832-Menlo-Dr-Big-Bear-Lake-CA-92315/17621147_zpid/,1123825,1199900,4837,4,5,3087,SINGLE_FAMILY,832 Menlo Dr,Big Bear Lake,92315,CA,USA,KELLER WILLIAMS BBLA,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/39996-Glenview-Rd-Big-Bear-Lake-CA-92315/17383988_zpid/,686874,699000,2598,3,3,1456,SINGLE_FAMILY,39996 Glenview Rd,Big Bear Lake,92315,CA,USA,KW Temecula,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/43128-Moonridge-Rd-Big-Bear-Lake-CA-92315/17386233_zpid/,632100,699950,2999,2,3,1548,SINGLE_FAMILY,43128 Moonridge Rd,Big Bear Lake,92315,CA,USA,,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/651-Chipmunk-Ln-Big-Bear-Lake-CA-92315/17382876_zpid/,616700,635000,3195,3,3,1862,SINGLE_FAMILY,651 Chipmunk Ln,Big Bear Lake,92315,CA,USA,Excalibur Realty,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/405-Glenwood-Dr-Big-Bear-Lake-CA-92315/2071906499_zpid/,1810000,1799900,7918,6,5,4084,SINGLE_FAMILY,405 Glenwood Dr,Big Bear Lake,92315,CA,USA,,,New Construction,New construction,FOR_SALE
https://www.zillow.com/homedetails/154-Lagunita-Ln-Big-Bear-Lake-CA-92315/17383447_zpid/,1152923,1249000,4993,2,4,2416,SINGLE_FAMILY,154 Lagunita Ln,Big Bear Lake,92315,CA,USA,Realty One Group Empire,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/477-Windsong-Pl-Big-Bear-Lake-CA-92315/17389953_zpid/,2002300,1799000,8710,4,4,5849,SINGLE_FAMILY,477 Windsong Pl,Big Bear Lake,92315,CA,USA,,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/43636-Sheephorn-Rd-Big-Bear-Lake-CA-92315/17621164_zpid/,1383447,1495999,6000,7,5,4925,SINGLE_FAMILY,43636 Sheephorn Rd,Big Bear Lake,92315,CA,USA,VACASA REAL ESTATE,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/166-Teakwood-Dr-Big-Bear-Lake-CA-92315/17390037_zpid/,931000,995000,4085,3,3,2200,SINGLE_FAMILY,166 Teakwood Dr,Big Bear Lake,92315,CA,USA,Re/Max Area Experts,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/41770-Tanager-Dr-Big-Bear-Lake-CA-92315/17618233_zpid/,955700,998750,4336,4,5,2827,SINGLE_FAMILY,41770 Tanager Dr,Big Bear Lake,92315,CA,USA,WESTSTAR REAL ESTATE,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/43555-Sand-Canyon-Rd-Big-Bear-Lake-CA-92315/243183108_zpid/,617207,629000,2499,2,3,1340,SINGLE_FAMILY,43555 Sand Canyon Rd,Big Bear Lake,92315,CA,USA,Compass,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/42381-Avalon-Rd-Big-Bear-Lake-CA-92315/17619174_zpid/,653905,674999,2929,2,3,1440,SINGLE_FAMILY,42381 Avalon Rd,Big Bear Lake,92315,CA,USA,EXP REALTY OF CALIFORNIA INC.,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/814-Rayo-Ln-Big-Bear-Lake-CA-92315/17382250_zpid/,718100,749900,2629,2,3,1431,SINGLE_FAMILY,814 Rayo Ln,Big Bear Lake,92315,CA,USA,Ice Realty Group,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/43869-Mendocino-Dr-Big-Bear-Lake-CA-92315/17387413_zpid/,559200,579900,2199,2,3,1120,SINGLE_FAMILY,43869 Mendocino Dr,Big Bear Lake,92315,CA,USA,RE/MAX Big Bear,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/39197-Waterview-Dr-Big-Bear-Lake-CA-92315/17382547_zpid/,670500,699995,2834,2,3,1700,SINGLE_FAMILY,39197 Waterview Dr,Big Bear Lake,92315,CA,USA,"BRUIN TROJAN REALTORS, INC",,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/1646-Tuolomne-Rd-Big-Bear-Lake-CA-92315/69006232_zpid/,860329,899950,3499,3,4,2304,SINGLE_FAMILY,1646 Tuolomne Rd,Big Bear Lake,92315,CA,USA,Homecoin.com,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/772-Cove-Dr-Big-Bear-Lake-CA-92315/17382242_zpid/,930600,1049000,3093,4,4,1800,SINGLE_FAMILY,772 Cove Dr,Big Bear Lake,92315,CA,USA,Pinnacle Estate Properties,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/43406-Ridge-Crest-Dr-Big-Bear-Lake-CA-92315/2063388519_zpid/,,1449999,,4,3,2663,SINGLE_FAMILY,43406 Ridge Crest Dr,Big Bear Lake,92315,CA,USA,RE/MAX BIG BEAR,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/308-Eagle-Dr-Big-Bear-Lake-CA-92315/17385082_zpid/,839755,867500,3858,3,3,2264,SINGLE_FAMILY,308 Eagle Dr,Big Bear Lake,92315,CA,USA,HomeSmart Evergreen Realty,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/355-Tannenbaum-Dr-Big-Bear-Lake-CA-92315/17620030_zpid/,908080,949900,3984,3,4,3604,SINGLE_FAMILY,355 Tannenbaum Dr,Big Bear Lake,92315,CA,USA,KELLER WILLIAMS BBLA,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/43040-Sunset-Dr-Big-Bear-Lake-CA-92315/69005442_zpid/,591666,625000,2849,2,3,1420,SINGLE_FAMILY,43040 Sunset Dr,Big Bear Lake,92315,CA,USA,KELLER WILLIAMS BBLA,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/251-Eagle-Dr-Big-Bear-Lake-CA-92315/17385993_zpid/,,1880000,4800,3,3,4227,SINGLE_FAMILY,251 Eagle Dr,Big Bear Lake,92315,CA,USA,Excellence RE Real Estate,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/402-Glenwood-Dr-Big-Bear-Lake-CA-92315/17390016_zpid/,1190356,1299000,5159,3,5,3819,SINGLE_FAMILY,402 Glenwood Dr,Big Bear Lake,92315,CA,USA,KELLER WILLIAMS BBLA,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/801-Cameron-Dr-Big-Bear-Lake-CA-92315/17384788_zpid/,857851,895000,2999,2,3,1850,SINGLE_FAMILY,801 Cameron Dr,Big Bear Lake,92315,CA,USA,InvestorsAlly Realty,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/41829-Switzerland-Dr-Big-Bear-Lake-CA-92315/17618482_zpid/,1793804,1899900,8127,7,6,3792,SINGLE_FAMILY,41829 Switzerland Dr,Big Bear Lake,92315,CA,USA,"MICHEL HARB, BROKER",,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/370-Starlight-Cir-Big-Bear-Lake-CA-92315/2125181305_zpid/,1725900,1749000,4175,4,4,3285,SINGLE_FAMILY,370 Starlight Cir,Big Bear Lake,92315,CA,USA,,,New Construction,New construction,FOR_SALE
https://www.zillow.com/homedetails/351-Glenwood-Dr-Big-Bear-Lake-CA-92315/69002127_zpid/,1231600,1549000,6179,5,6,3700,SINGLE_FAMILY,351 Glenwood Dr,Big Bear Lake,92315,CA,USA,,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/0-Cienega-Rd-Big-Bear-Lake-CA-92315/2086077345_zpid/,,975000,2440,2,4,1516,SINGLE_FAMILY,0 Cienega Rd,Big Bear Lake,92315,CA,USA,"Mark 1 Real Estate, Inc.",,For Sale (Broker),House for sale,FOR_SALE
